param;SFH_D_1_2zone_TAB;SFH_D_1_2zone_REF1;SFH_D_1_2zone_REF2;SFH_D_2_2zone_TAB;SFH_D_2_2zone_REF1;SFH_D_2_2zone_REF2;SFH_D_3_2zone_TAB;SFH_D_3_2zone_REF1;SFH_D_3_2zone_REF2;SFH_D_4_2zone_TAB;SFH_D_4_2zone_REF1;SFH_D_4_2zone_REF2;SFH_D_5_2zone_TAB;SFH_D_5_ins_TAB;SFH_SD_1_2zone_TAB;SFH_SD_1_2zone_REF1;SFH_SD_1_2zone_REF2;SFH_SD_2_2zone_TAB;SFH_SD_2_2zone_REF1;SFH_SD_2_2zone_REF2;SFH_SD_3_2zone_TAB;SFH_SD_3_2zone_REF1;SFH_SD_3_2zone_REF2;SFH_SD_4_2zone_TAB;SFH_SD_4_2zone_REF1;SFH_SD_4_2zone_REF2;SFH_SD_5_TAB;SFH_SD_5_Ins_TAB;SFH_T_1_2zone_TAB;SFH_T_1_2zone_REF1;SFH_T_1_2zone_REF2;SFH_T_2_2zone_TAB;SFH_T_2_2zone_REF1;SFH_T_2_2zone_REF2;SFH_T_3_2zone_TAB;SFH_T_3_2zone_REF1;SFH_T_3_2zone_REF2;SFH_T_4_2zone_TAB;SFH_T_4_2zone_REF1;SFH_T_4_2zone_REF2;SFH_T_5_TAB;SFH_T_5_ins_TAB
UwN;892.0431484;229.1194678;60.35783057;826.0380195;189.3485279;95.25197424;743.8229239;139.4522161;105.4400494;728.5371918;105.7760526;96.29877161;64.3726663;22.89967892;1067.678264;593.0574507;71.82091167;759.178131;275.694078;81.33911188;563.577669;154.7591955;86.50646465;532.8915212;110.3561727;88.88949899;78.0641933;28.31882627;793.1221735;436.859678;52.30812245;623.5864614;204.9719298;426.1382367;411.9466853;132.514111;63.46255561;396.5384627;84.7725211;65.83631433;55.51446536;20.14479437
CfiD;4177489;4177489;4177489;25395207;25395207;25395207;21038100;21038100;21038100;27839292;27839292;27839292;31743466.5;31743466.5;2964812.5;2964812.5;2959175;24347742;24347742;24347742;20420677.5;20420677.5;20420677.5;20786361;20786361;20786361;20593473;20593473;2189622.5;2189622.5;2185459;17791345;17791345;17341365;14177850;14177850;14177850;30663204;30663204;29887668;13836600;13836600
CfiN;4177489;4177489;4177489;25395207;25395207;25395207;21038100;21038100;21038100;27839292;27839292;27839292;31743466.5;31743466.5;2964812.5;2964812.5;2959175;24347742;24347742;24347742;20420677.5;20420677.5;20420677.5;20786361;20786361;20786361;20593473;20593473;2189622.5;2189622.5;2185459;17791345;17791345;17341365;14177850;14177850;14177850;30663204;30663204;29887668;13836600;13836600
UfDN;702.7373068;530.8615898;530.8615898;634.9468822;634.9468822;634.9468822;548.7337278;548.7337278;548.7337278;696.0554273;696.0554273;501.484193;988.2564103;988.2564103;497.7924945;376.0422457;376.0422457;608.7575058;438.5890183;438.5890183;532.6295858;381.0939881;381.0939881;519.7136259;374.4359401;374.4359401;641.1282051;641.1282051;367.6379691;277.7209561;277.7209561;497.9840849;298.4737679;433.5796767;369.7988166;369.7988166;264.5893311;858.270557;593.7027523;538.3826955;430.7692308;430.7692308
Ufi;351.3686534;265.4307949;265.4307949;317.4734411;317.4734411;317.4734411;274.3668639;274.3668639;274.3668639;348.0277136;348.0277136;250.7420965;494.1282051;494.1282051;248.8962472;188.0211228;188.0211228;304.3787529;219.2945092;219.2945092;266.3147929;190.5469941;190.5469941;259.8568129;187.21797;187.21797;320.5641026;320.5641026;183.8189845;138.860478;138.860478;248.9920424;149.2368839;216.7898383;184.8994083;184.8994083;132.2946655;429.1352785;296.8513761;269.1913478;215.3846154;215.3846154
UfND;702.7373068;530.8615898;530.8615898;634.9468822;634.9468822;634.9468822;548.7337278;548.7337278;548.7337278;696.0554273;696.0554273;501.484193;988.2564103;988.2564103;497.7924945;376.0422457;376.0422457;608.7575058;438.5890183;438.5890183;532.6295858;381.0939881;381.0939881;519.7136259;374.4359401;374.4359401;641.1282051;641.1282051;367.6379691;277.7209561;277.7209561;497.9840849;298.4737679;433.5796767;369.7988166;369.7988166;264.5893311;858.270557;593.7027523;538.3826955;430.7692308;430.7692308
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-day;107.6466365;92.54315434;53.82331825;69.44836062;69.44836062;69.44836062;47.05619568;47.05619568;47.05619568;62.863969;62.863969;62.863969;43.54017426;43.54017426;39.25900537;26.35514902;25.992701;27.62835519;19.75951985;19.75951985;22.20731528;17.09129555;17.09129555;24.05334039;17.6359472;17.6359472;15.01851416;15.01851416;19.08153932;19.08153932;12.63355354;13.7595707;9.840705626;13.7595707;9.108457735;9.108457735;7.010092898;10.10633114;7.409977968;10.10633114;6.403303319;6.403303319
U-real;10.27473074;11.95161558;1.368392016;9.091458373;9.091458373;0.802856573;5.641569512;5.641569512;1.21989222;2.067778949;2.067778949;1.145522889;2.01830639;0.752367812;10.27473074;15.30538525;1.033399905;9.091458373;12.71195065;1.122578217;5.641569512;7.330287658;1.585048428;2.067778949;2.820205251;1.562357363;2.01830639;0.752367812;10.27473074;10.27473074;1.033399905;9.091458373;12.71195065;0.802856573;5.641569512;5.641569512;1.585048428;2.067778949;2.820205251;1.145522889;2.01830639;0.752367812
