,batt.p,batt.e,batt.de,batt.dp,batt.pd,batt.pc,batt.u,batt.abs_p,mg.p,mg.pout,mg.pin,mg.u,ps.scale_fact,ps.p_scaled,arc3_expanded.f,arc1_expanded.f,arc2_expanded.f,int,batt.soc,batt.inst_cost,mg.instant_cost,inst_obj
2018-04-01 15:15:00+02:00,0.0,4.758624999999997,0.0,0.0,0.0,0.0,-0.0,0.0,2.5858000000000003,2.5858000000000003,0.0,1.0,10,0.48919999999999997,0.48919999999999997,2.5858000000000003,0.0,15.366518933245455,22.66011904761903,0.0,9.545911666666668e-05,9.545911666666668e-05
2018-04-01 15:30:00+02:00,0.0,4.758624999999997,0.0,0.0,0.0,0.0,-0.0,0.0,2.4528,2.4528,0.0,1.0,10,0.5472,0.5472,2.4528,0.0,15.366518933245455,22.66011904761903,0.0,9.054919999999999e-05,9.054919999999999e-05
2018-04-01 15:45:00+02:00,0.0,4.758624999999997,0.0,0.0,0.0,0.0,-0.0,0.0,2.5148,2.5148,0.0,1.0,10,0.3952,0.3952,2.5148,0.0,15.366518933245455,22.66011904761903,0.0,9.283803333333333e-05,9.283803333333333e-05
2018-04-01 16:00:00+02:00,0.0,4.758624999999997,0.0,0.0,0.0,0.0,-0.0,0.0,2.5768999999999997,2.5768999999999997,0.0,1.0,10,0.24309999999999998,0.24309999999999998,2.5768999999999997,0.0,15.366518933245455,22.66011904761903,0.0,9.513055833333332e-05,9.513055833333332e-05
2018-04-01 16:15:00+02:00,0.0,4.758624999999997,0.0,0.0,0.0,0.0,-0.0,0.0,2.4571,2.4571,0.0,1.0,10,0.38289999999999996,0.38289999999999996,2.4571,0.0,15.366518933245455,22.66011904761903,0.0,9.070794166666666e-05,9.070794166666666e-05
2018-04-01 16:30:00+02:00,0.0,4.758624999999997,0.0,0.0,0.0,0.0,-0.0,0.0,2.3373,2.3373,0.0,1.0,10,0.5226999999999999,0.5226999999999999,2.3373,0.0,15.366518933245455,22.66011904761903,0.0,8.6285325e-05,8.6285325e-05
2018-04-01 16:45:00+02:00,0.0,4.758624999999997,0.0,0.0,0.0,0.0,-0.0,0.0,2.2823,2.2823,0.0,1.0,10,0.5427,0.5427,2.2823,0.0,15.366518933245455,22.66011904761903,0.0,8.425490833333334e-05,8.425490833333334e-05
2018-04-01 17:00:00+02:00,0.0,4.758624999999997,0.0,0.0,0.0,0.0,-0.0,0.0,2.2273,2.2273,0.0,1.0,10,0.5627,0.5627,2.2273,0.0,15.366518933245455,22.66011904761903,0.0,8.222449166666667e-05,8.222449166666667e-05
2018-04-01 17:15:00+02:00,0.0,4.758624999999997,0.0,0.0,0.0,0.0,-0.0,0.0,2.3149,2.3149,0.0,1.0,10,0.47509999999999997,0.47509999999999997,2.3149,0.0,15.366518933245455,22.66011904761903,0.0,8.545839166666666e-05,8.545839166666666e-05
2018-04-01 17:30:00+02:00,0.0,4.758624999999997,0.0,0.0,0.0,0.0,-0.0,0.0,2.4025,2.4025,0.0,1.0,10,0.3875,0.3875,2.4025,0.0,15.366518933245455,22.66011904761903,0.0,8.869229166666666e-05,8.869229166666666e-05
2018-04-01 17:45:00+02:00,0.0,4.758624999999997,0.0,0.0,0.0,0.0,-0.0,0.0,2.3329,2.3329,0.0,1.0,10,0.4671,0.4671,2.3329,0.0,15.366518933245455,22.66011904761903,0.0,8.612289166666666e-05,8.612289166666666e-05
2018-04-01 18:00:00+02:00,0.0,4.758624999999997,0.0,0.0,0.0,0.0,-0.0,0.0,2.2633,2.2633,0.0,1.0,10,0.5467000000000001,0.5467000000000001,2.2633,0.0,15.366518933245455,22.66011904761903,0.0,8.355349166666667e-05,8.355349166666667e-05
2018-04-01 18:15:00+02:00,0.0,4.758624999999997,0.0,0.0,0.0,0.0,-0.0,0.0,2.5235000000000003,2.5235000000000003,0.0,1.0,10,0.4065,0.4065,2.5235000000000003,0.0,15.366518933245455,22.66011904761903,0.0,9.315920833333334e-05,9.315920833333334e-05
2018-04-01 18:30:00+02:00,1.0596071428571439,4.49372321428571,-0.00029433531746031775,0.001177341269841271,1.0596071428571439,0.0,1.0,0.001177341269841271,1.724192857142856,1.724192857142856,0.0,1.0,10,0.2662,0.2662,1.724192857142856,1.0596071428571439,15.366518933245455,21.398681972789095,3.270392416225753e-07,6.365145297619043e-05,6.365145297619043e-05
